Estimated radiative forcings from individual components: 
  2) volcanic aerosols (two reconstructions)

Values are nominally adjusted forcings (W/m2) at the TOA, but specific
calulations using GCMs may give somewhat different results. The
baseline for each calculations is noted below. 

Sources, and calculation methodology from Schmidt et al (2010)
"Climate forcing reconstructions for use in PMIP simulations of the
Last Millennium (version 1.0)".
GRA: based on Gao, Robock and Ammmann
CEA: Based on Crowley et al

    GRA             CEA
1285 -4.68397	    -0.682361	    
1286 -2.69805	    -3.51881	    
1287 -0.500725	    -2.90565	    
1288 -0.0856971	    -1.07043	    
1289 -0.0143701	    -0.554722	    
1290 -0.00106545    -0.330097	    
1291 0		    -0.0446389	    
1292 0		    -0.00972222    
1293 0		    -0.133639	    
1294 0		    -0.266583	    
1295 0		    -0.0797639	    
1296 0		    -0.326764	    
1297 0		    -0.416153	    
1298 0		    -0.0923333	    
1299 0		    -0.0203333	    
1300 0		    0		    
1301 0		    -0.465333	    
1302 0		    -0.433569	    
1303 0		    -0.0967917	    
1304 0		    -0.0202222	    
1305 0		    0		    
1306 0		    -0.0139722	    
1307 0		    -0.183556	    
1308 -0.119729	    -0.339333	    
1309 -0.0640467	    -0.102069	    
1310 -0.0116652	    -0.0216944	    
1311 -0.00198781    -0.00280556    
1312 -0.000332959   -0.48925	    
1313 -2.57192e-05   -0.161056	    
1314 0		    -0.0359306	    
1315 0		    -0.00526389    
1316 0		    -0.125319	    
1317 -0.185681	    -0.150139	    
1318 -0.0993267	    -0.0335417	    
1319 -0.0180909	    -0.00726389    
1320 -0.00308286    -0.161667	    
1321 -0.00051627    -0.0483611	    
1322 -3.99185e-05   -0.0107917	    
1323 0		    -0.00144444    
1324 0		    0		    
1325 0		    0		    
1326 0		    0		    
1327 0		    -0.147569	    
1328 0		    -0.180139	    
1329 -1.26018	    -0.172917	    
1330 -0.838234	    -0.500333	    
1331 -0.160614	    -1.2524	    
1332 -0.0276871	    -0.531292	    
1333 -0.00465132    -0.184847	    
1334 -0.000320615   -0.0661111	    
1335 0		    -0.0116944	    
1336 0		    -0.227278	    
1337 0		    -0.0709722	    
1338 0		    -0.0158194	    
1339 0		    -0.376458	    
1340 0		    -0.497444	    
1341 0		    -0.388583	    
1342 -2.94686	    -0.393167	    
1343 -1.62319	    -0.08225	    
1344 -0.297907	    -0.182	    
1345 -0.0508544	    -0.615042	    
1346 -0.0085217	    -0.141292	    
1347 -0.000647897   -0.301528	    
1348 0		    -0.0871111	    
1349 0		    -0.0189583	    
1350 0		    -0.00265278    
1351 0		    0		    
1352 0		    0		    
1353 0		    -0.175653	    
1354 0		    -0.165069	    
1355 0		    -0.0436667	    
1356 0		    -0.00872222    
1357 0		    -0.0675694	    
1358 0		    -0.179	    
1359 -0.110597	    -0.0522361	    
1360 -0.0591618	    -0.0934583	    
1361 -0.0107755	    -0.0236667	    
1362 -0.00183608    -0.00497222    
1363 -0.000307545   -0.000611111   
1364 -2.37877e-05   0		    
1365 0		    0		    
1366 0		    -0.147625	    
1367 0		    -0.0438889	    
1368 0		    -0.00979167    
1369 0		    -0.422875	    
1370 0		    -0.138056	    
1371 -0.336507	    -0.0308194	    
1372 -0.212321	    -0.507361	    
1373 -0.0410142	    -0.15725	    
1374 -0.00708471    -0.0350972	    
1375 -0.00119096    -0.00483333    
1376 -8.69099e-05   -0.326917	    
1377 0		    -0.104028	    
1378 0		    -0.0231806	    
1379 0		    -0.00323611    
1380 0		    0		    
1381 0		    -0.169903	    
1382 -0.534721	    -0.210236	    
1383 -0.286039	    -0.0469028	    
1384 -0.0520982	    -0.0101944	    
1385 -0.0088776	    -0.251014	    
1386 -0.00148699    -0.0787917	    
1387 -0.000114995   -0.017625	    
1388 0		    -0.238014	    
1389 0		    -0.309569	    
1390 0		    -0.0690417	    
1391 0		    -0.0151944	    
1392 0		    0		    
1393 0		    0		    
1394 0		    0		    
1395 0		    0		    
1396 0		    0		    
1397 0		    0		    
1398 0		    0		    
1399 0		    -0.126569	    
1400 0		    -0.0617917	    
1401 0		    -0.0137778	    
1402 0		    -0.00243056    
1403 0		    0		    
1404 0		    0		    
1405 0		    -0.06875	    
1406 0		    -0.0705972	    
1407 0		    -0.0157639	    
1408 0		    -0.226458	    
1409 0		    -0.292208	    
1410 0		    -0.0652361	    
1411 0		    -0.265347	    
1412 0		    -0.0787917	    
1413 0		    -0.017625	    
1414 0		    -0.150056	    
1415 0		    -0.0438889	    
1416 0		    -0.00979167    
1417 -0.778091	    -0.00130556    
1418 -0.461797	    0		    
1419 -0.0863148	    0		    
1420 -0.0147964	    -0.170917	    
1421 -0.00248214    -0.0514028	    
1422 -0.000181121   -0.281417	    
1423 0		    -0.0866528	    
1424 0		    -0.0189583	    
1425 0		    -0.00265278    
1426 0		    0		    
1427 0		    -0.379889	    
1428 0		    -0.116528	    
1429 0		    -0.0260278	    
1430 0		    -0.00356944    
1431 0		    0		    
1432 0		    0		    
1433 0		    0		    
1434 0		    0		    
1435 0		    -0.156903	    
1436 0		    -0.046875	    
1437 0		    -0.0104306	    
1438 0		    -0.00138889    
1439 0		    0		    
1440 0		    0		    
1441 0		    -0.496264	    
1442 0		    -1.96749	    
1443 0		    -0.808278	    
1444 0		    -0.297361	    
1445 0		    -0.242972	    
1446 0		    -0.0607778	    
1447 0		    -0.00879167    
1448 0		    -0.00116667    
1449 0		    0		    
1450 0		    0		    
1451 0		    -0.431292	    
1452 0		    -0.141292	    
1453 -12.2791	    -0.0315278	    
1454 -6.94005	    -0.303042	    
1455 -1.28201	    -1.12194	    
1456 -0.219177	    -5.43521	    
1457 -0.0367425	    -3.85533	    
